aop_site,shp,flightlines,kml_color,color,condition,aq_site,aop_yr,domainID
OSBS,BARC_AOSpts,20140507_152342,ff00ff00,green,good,BARC,2014,D03
OSBS,BARC_AOSpts,20140520_155014,ff00ffff,yellow,okay,BARC,2014,D03
OSBS,BARC_AOSpts,20140520_155830,ff00ffff,yellow,okay,BARC,2014,D03
OSBS,BARC_AOSpts,20170927_170305,ff0000ff,red,bad,BARC,2017,D03
OSBS,BARC_AOSpts,20180915_154327,ff0000ff,red,bad,BARC,2018,D03
OSBS,BARC_AOSpts,20181012_172548,ff00ff00,green,good,BARC,2018,D03
BLUE,BLUE_AOSpts,20170506_160715,ff00ff00,green,good,BLUE,2017,D11
BLUE,BLUE_AOSpts,20170506_161227,ff00ff00,green,good,BLUE,2017,D11
DELA,BLWA_AOSpts,20170515_150153,ff00ff00,green,good,BLWA,2017,D08
DELA,BLWA_AOSpts,20170515_150942,ff00ff00,green,good,BLWA,2017,D08
DELA,BLWA_AOSpts,20170515_165759,ff00ffff,yellow,okay,BLWA,2017,D08
DELA,BLWA_AOSpts,20170516_203433,ff0000ff,red,bad,BLWA,2017,D08
DELA,BLWA_AOSpts,20170526_170443,ff00ff00,green,good,BLWA,2017,D08
DELA,BLWA_AOSpts,20180430_155951,ff00ff00,green,good,BLWA,2018,D08
DELA,BLWA_AOSpts,20190429_151153,ff00ffff,yellow,okay,BLWA,2019,D08
DELA,BLWA_AOSpts,20190429_151835,ff00ffff,yellow,okay,BLWA,2019,D08
UNDE,CRAM_AOSpts,20160902_173948,ff00ff00,green,good,CRAM,2016,D05
UNDE,CRAM_AOSpts,20160902_174607,ff00ff00,green,good,CRAM,2016,D05
UNDE,CRAM_AOSpts,20170912_174910,ff00ff00,green,good,CRAM,2017,D05
UNDE,CRAM_AOSpts,20170912_175640,ff00ff00,green,good,CRAM,2017,D05
UNDE,CRAM_AOSpts,20190606_192344,ff00ff00,green,good,CRAM,2019,D05
UNDE,CRAM_AOSpts,20190608_153245,ff00ff00,green,good,CRAM,2019,D05
UNDE,CRAM_AOSpts,20200811_171525,ff00ff00,green,good,CRAM,2020,D05
JERC,FLNT_AOSpts,20170917_144900,ff00ff00,green,good,FLNT,2017,D03
JERC,FLNT_AOSpts,20170917_174613,ff00ffff,yellow,okay,FLNT,2017,D03
JERC,FLNT_AOSpts,20170918_165616,ff00ff00,green,good,FLNT,2017,D03
JERC,FLNT_AOSpts,20180916_155910,ff00ff00,green,good,FLNT,2018,D03
JERC,FLNT_AOSpts,20180919_153133,ff00ff00,green,good,FLNT,2018,D03
JERC,FLNT_AOSpts,20190830_182242,ff0000ff,red,bad,FLNT,2019,D03
JERC,FLNT_AOSpts,20190906_144357,ff00ff00,green,good,FLNT,2019,D03
LIRO,LIRO_AOSpts,20170911_195715,ff00ff00,green,good,LIRO,2017,D05
LIRO,LIRO_AOSpts,20170911_200100,ff00ff00,green,good,LIRO,2017,D05
LIRO,LIRO_AOSpts,20170911_201126,ff00ff00,green,good,LIRO,2017,D05
LIRO,LIRO_AOSpts,20200816_150613,ff0000ff,red,bad,LIRO,2020,D05
LIRO,LIRO_AOSpts,20200816_152317,ff0000ff,red,bad,LIRO,2020,D05
LIRO,LIRO_AOSpts,20200816_152652,ff0000ff,red,bad,LIRO,2020,D05
WOOD,PRLA_AOSpts,20170621_205644,ff00ffff,yellow,okay,PRLA,2017,D09
WOOD,PRLA_AOSpts,20190726_151709,ff00ff00,green,good,PRLA,2019,D09
WOOD,PRLA_AOSpts,20190726_162146,ff00ff00,green,good,PRLA,2019,D09
WOOD,PRLA_AOSpts,20190726_163004,ff00ff00,green,good,PRLA,2019,D09
WOOD,PRLA_AOSpts,20190727_152346,ff00ff00,green,good,PRLA,2019,D09
WOOD,PRLA_AOSpts,20190730_153032,ff00ffff,yellow,okay,PRLA,2019,D09
WOOD,PRLA_AOSpts,20200624_161319,ff00ff00,green,good,PRLA,2020,D09
WOOD,PRLA_AOSpts,20200624_162051,ff00ff00,green,good,PRLA,2020,D09
WOOD,PRLA_AOSpts,20200624_162804,ff00ff00,green,good,PRLA,2020,D09
WOOD,PRLA_AOSpts,20200624_173036,ff00ff00,green,good,PRLA,2020,D09
WOOD,PRLA_AOSpts,20200626_192243,ff0000ff,red,bad,PRLA,2020,D09
WOOD,PRLA_AOSpts,20200702_171105,ff00ff00,green,good,PRLA,2020,D09
WOOD,PRPO_AOSpts,20170619_154940,ff00ff00,green,good,PRPO,2017,D09
WOOD,PRPO_AOSpts,20170621_183544,ff0000ff,red,bad,PRPO,2017,D09
WOOD,PRPO_AOSpts,20190730_164923,ff00ff00,green,good,PRPO,2019,D09
WOOD,PRPO_AOSpts,20190730_165932,ff00ff00,green,good,PRPO,2019,D09
WOOD,PRPO_AOSpts,20200624_153559,ff00ff00,green,good,PRPO,2020,D09
WOOD,PRPO_AOSpts,20200624_154504,ff00ff00,green,good,PRPO,2020,D09
OSBS,SUGG_AOSpts,20140507_140657,ff00ff00,green,good,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140507_154018,ff00ff00,green,good,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140507_154756,ff00ff00,green,good,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140520_145919,ff00ffff,yellow,okay,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140520_152515,ff00ffff,yellow,okay,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140520_153408,ff00ffff,yellow,okay,SUGG,2014,D03
OSBS,SUGG_AOSpts,20140520_162436,ff0000ff,red,bad,SUGG,2014,D03
OSBS,SUGG_AOSpts,20170927_163135,ff0000ff,red,bad,SUGG,2017,D03
OSBS,SUGG_AOSpts,20170927_171031,ff0000ff,red,bad,SUGG,2017,D03
OSBS,SUGG_AOSpts,20170927_171735,ff0000ff,red,bad,SUGG,2017,D03
OSBS,SUGG_AOSpts,20180915_155817,ff0000ff,red,bad,SUGG,2018,D03
OSBS,SUGG_AOSpts,20181005_134947,ff00ff00,green,good,SUGG,2018,D03
OSBS,SUGG_AOSpts,20181012_174055,ff00ff00,green,good,SUGG,2018,D03
OSBS,SUGG_AOSpts,20181012_174934,ff00ff00,green,good,SUGG,2018,D03
LENO,TOMB_AOSpts,20170517_190309,ff0000ff,red,bad,TOMB,2017,D08
LENO,TOMB_AOSpts,20180428_152550,ff00ff00,green,good,TOMB,2018,D08
LENO,TOMB_AOSpts,20190506_181146,ff0000ff,red,bad,TOMB,2019,D08
LENO,TOMB_AOSpts,20190506_185225,ff0000ff,red,bad,TOMB,2019,D08
TOOL,TOOK_AOSpts,20170714_201551,ff00ffff,yellow,okay,TOOK,2017,D18
TOOL,TOOK_AOSpts,20170714_202447,ff00ffff,yellow,okay,TOOK,2017,D18
TOOL,TOOK_AOSpts,20170714_203317,ff00ffff,yellow,okay,TOOK,2017,D18
TOOL,TOOK_AOSpts,20170714_204140,ff00ffff,yellow,okay,TOOK,2017,D18
TOOL,TOOK_AOSpts,20180707_200701,ff0000ff,red,bad,TOOK,2018,D18
TOOL,TOOK_AOSpts,20180707_201743,ff0000ff,red,bad,TOOK,2018,D18
TOOL,TOOK_AOSpts,20180707_204103,ff0000ff,red,bad,TOOK,2018,D18
TOOL,TOOK_AOSpts,20190711_203112,ff0000ff,red,bad,TOOK,2019,D18
TOOL,TOOK_AOSpts,20190711_204033,ff0000ff,red,bad,TOOK,2019,D18
TOOL,TOOK_AOSpts,20190711_204910,ff0000ff,red,bad,TOOK,2019,D18
TOOL,TOOK_AOSpts,20190711_205747,ff0000ff,red,bad,TOOK,2019,D18
